company_name,company_id,ruta_logo,ruta_logo_deeplink
339 Flats y Duplex,B65539BE-57E5-44CF-8582-28CC0419DB3C,,
360Pay,1E6B58C0-32C5-4575-B1B4-FA1AAECD5EBB,/360pay/360pay.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/360pay/360pay.png
A y R,2250298C-72D2-4C84-9058-57448EFB672C,,
Abal Peru SAC,ED50D299-D2CC-473F-A36D-33483831E86A,/abal/abal.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/abal/abal.png
ABB SA,1045377D-2A3E-42FE-B0CC-560E0A68731D,,
Abraham Lincoln Colegios,1F9D813E-9765-4B2F-80AC-45A69D5E5FD4,,
Academia Trilce,B6834C38-C1CA-498F-94B3-08C4594591E2,/academiatrilce/academiatrilce.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/academiatrilce/academiatrilce.png
Acceso Crediticio,5BCA90B8-A514-49D8-8968-61F80AF6CD06,/acceso/acceso.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/acceso/acceso.png
Adex Instituto,2967C50D-CCB9-466D-BACA-4B1F0769914F,/adex/adex.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/adex/adex.png
Adinco,1FC5D3EC-5E08-465A-B0FC-1FEF1FB320AC,,
Adinelsa,CBB2055A-E496-4F1A-9128-E4F65F97B75A,/adinelsa/adinelsa-v2.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/adinelsa/adinelsa-v2.png
Administración Jockey Plaza,D88862A8-E14B-4384-BE2B-6646B7B5CC1A,,
Administración Q SA,486C8A1B-396A-4CE9-95FD-406C8E56A192,,
Adminpro,77F319C5-DB2E-4C9B-A806-B22F5438C7EC,,
ADPROPER,15A4504A-1BCF-40DC-8175-4F40BA87710B,,
ADRA Credit,4ABA3068-019E-4E6D-83E3-F81487D2EF73,/adra/adra.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/adra/adra.png
Adventista José de San Martín,ADBFF212-C575-49BF-BEE1-9FF4F852F995,,
AEASOP,960B24F9-3C66-4F71-9B0D-2A93982C5AFA,,
Aelucoop,F990FE12-8987-4234-8232-4B8B02A9BF98,,
Aeropuertos Andinos del Perú SA,4B3C6699-F25A-42C7-80BA-D3B86D46BDD2,,
AFP Integra,7E30610D-8BFA-46B3-AD1A-0D807989AAA2,/afpintegra/afpintegra.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/afpintegra/afpintegra.png
AGA,BCCF16C6-8CC9-464C-B713-09C6BAC416A1,,
Aga Chachapoyas,00864749-6584-4E1E-843B-8F9C79DF07F6,,
AGA JUANJUI,E6BDCBE5-4FAC-4EBD-9C99-44B2848D7A60,,
AGA MOYOBAM,BD145658-DAF9-4292-92C1-64C94F49CB63,,
AGA TARAPOTO,4D8FEF20-1AF5-42D8-AB44-B68E21473E39,,
Agrobanco - Banco Agropec,A17525F8-B89C-4515-8C6D-BFB75B08E39C,,
Agrobex SAC,62F49AF8-08EE-4279-9900-BB1A76782092,/agrobex/agrobex.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/agrobex/agrobex.png
Agua Fontaneil,64FF63E4-5CD1-4BCB-8FED-E45AB0FF1255,,
Agua Tumbes,03230628-CD96-452C-8AF6-4852EADBFC8E,/aguatumbes/aguatumbes.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/aguatumbes/aguatumbes.png
Air Products Peru SA,B0AED9FC-FD5C-468B-93C0-19610569990E,,
AJE,37A2A28B-4D91-4EAA-8D39-8223C0614DFE,/aje/aje.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/aje/aje.png
Ajinomoto,64F5551E-08E1-4F77-A197-4CF05E8C4BB7,/ajinomoto/ajinomoto.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/ajinomoto/ajinomoto.png
Alexander Von Humboldt Lima,E7AA2B01-1D8D-436F-B0E4-B4933513B65C,,
Alfin Banco,9BE4D6A3-010D-4A06-855C-A1F6E2D2BFF1,/alfin/alfin.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/alfin/alfin.png
Alfin Banco SA,9BE4D6A3-010D-4A06-855C-A1F6E2D2BFF1,/alfin/alfin.png,https://staceu2yapefrntp10.blob.core.windows.net/$web/bill-payment/companies/alfin/alfin.png
Algarrobos - Colegios,5B40CF7C-8C33-4E11-B698-45AFE36B30D2,,
