id,url_full,image_name,companyId,name,service,serviceId
claro,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/claro/claro.png,claro/claro.png,AA51F385-C09B-43BE-B3CF-4B05A36056CD,Claro,dni,57649a29-ef38-4312-b755-056630354a9e
claro,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/claro/claro.png,claro/claro.png,AA51F385-C09B-43BE-B3CF-4B05A36056CD,Claro,numero de telefono,fd586205-993b-4e9e-9a90-35c0a9a0333e
claro,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/claro/claro.png,claro/claro.png,AA51F385-C09B-43BE-B3CF-4B05A36056CD,Claro,cod cliente,c0273711-5d6c-49ba-af22-7ae10fb62e4c
movistar,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/movistar/movistar.png,movistar/movistar.png,DF9C669A-A98C-4D3F-9A5C-19571B6CB47D,Movistar,movil,2743928f-a877-43a7-b0b8-efa42c18e506
movistar,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/movistar/movistar.png,movistar/movistar.png,DF9C669A-A98C-4D3F-9A5C-19571B6CB47D,Movistar,fijo,d8b1b367-7ab2-416b-8ede-bddfcdee80d6
movistar,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/movistar/movistar.png,movistar/movistar.png,DF9C669A-A98C-4D3F-9A5C-19571B6CB47D,Movistar,cuenta financiera,bf2e84fa-c8c1-44a3-a22f-3ff089073bf1
movistar,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/movistar/movistar.png,movistar/movistar.png,DF9C669A-A98C-4D3F-9A5C-19571B6CB47D,Movistar,tv,4b21f1cf-6852-4940-a760-c65a1523845f
bitel,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/bitel/bitel.png,bitel/bitel.png,26582CFD-334D-404F-91D6-43CAFEF0102B,Bitel,postpago soles,A24702CC-5CA2-4CB6-9563-A2D90A1DD546
entel,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/entel/entel.png,entel/entel.png,3EA4271F-8B1A-49AD-980D-FBA9CB04C9DB,Entel,telefono,973c078c-69a0-46a0-a912-1a0ce4c34df3
backus,https://staceu2yapefrntp10.blob.core.windows.net/%24web/bill-payment/companies/backus/backus-v2.png,backus/backus-v2.png,C68B6889-6510-47C2-BCBD-517E5CC99EB7,Backus,cervecero,d6c6e2a3-9fa5-452b-9e67-547a1596e888
