service_name,company_name,service_id,consumerIdentification,orientation,patter_regular,ejemplo
Pago con nro teléfono,Claro,fd586205-993b-4e9e-9a90-35c0a9a0333e,Nro. de Teléfono,,\\b\\d{9}\\b,
Pago con código cliente,Claro,c0273711-5d6c-49ba-af22-7ae10fb62e4c,Código de Cliente,,,
Pago con nro DNI,Claro,57649a29-ef38-4312-b755-056630354a9e,DNI,,\\b\\d{8}\\b,
Fijo,Movistar,d8b1b367-7ab2-416b-8ede-bddfcdee80d6,Nro. Teléfono Fijo,,\\b\\d{9}\\b,
Móvil,Movistar,2743928f-a877-43a7-b0b8-efa42c18e506,Nro. celular,,\\b\\d{9}\\b,
TV,Movistar,4b21f1cf-6852-4940-a760-c65a1523845f,Cod. Cliente,,,
Datos,Movistar,bc181271-0ac0-43b4-8d92-d7474d8f346c,Cod. Cliente,,,
Cuenta Financiera,Movistar,bf2e84fa-c8c1-44a3-a22f-3ff089073bf1,Cuenta financiera,"El codigo puede contener letras y números, con una longitud máxima de 20 caracteres.",,
Pago con el número de teléfono - Postpago,Entel,973c078c-69a0-46a0-a912-1a0ce4c34df3,Teléfono,,,
Pago con número de recibo - Servicios Fijos Empresas,Entel,9fb84a6f-4667-4b53-8320-74444fe38bfd,Nro. de Documento,Escribe 00+número de recibo. Ejemplo: <b>00SX3XXXXXXXXX</b>,,
Pago con número de RUC - Servicios Fijos Empresas,Entel,890c1687-35f4-4232-8baf-b9ff7885d740,RUC,Número de RUC de 13 dígitos que empieza con 10 o 20,,
Pago con número de recibo,Entel,e1ec9abd-bcfa-4036-afa5-24dac3ffa103,Nro. de recibo,El número de recibo tiene el siguiente formato:<b>S001301404266</b>,,
Cobranza - Dólares,Coopse La Unión,e6953a34-2d22-4e54-a5e9-2fea2dc8c3ef,Código de Cliente,El código de cliente tiene 6 dígitos.<br>Por ejemplo: <b>457201</b>,,
Internet,WIN,801f6f27-a1c5-406a-bed8-af9f1fd1335c,Nro. de COD PAG DNI RUC CE,"Recuerde que puede realizar su pago con: DNI, RUC, Carnet de Extranjería y código de pago.",,
Servicios Educativos,Alexander Von Humboldt Lima,73a97524-0473-4acc-b2d7-7cf40c8e3c0e,Cod. Alumno,,,
Matrícula - Pensiones ,Alexander Von Humboldt Lima,2e998b76-f560-44b1-8135-d98e6197e8fb,Cod. Alumno,,,
Servicios Educativos Sol,Alexander Von Humboldt Lima,e405fc20-a52b-4c14-ad51-861e92a4b47a,Cod. Alumno,,,
Comercio Soles,Zipago,d24183d4-5743-40f7-81d3-5477b5108efd,ID Comercio,,,
Recaudo Soles,Zipago,2dc56538-b148-40ee-a370-aa0940375d56,Cliente Ticket,,,
Yess Norte Chico,Yess,EEADAE67-1550-4653-A47F-F27DD39E498C,Cod. Cliente,,,
Pago de Cupones,Yanbal,ca09d6e0-cc92-4ef4-8805-392669ed1603,Código de consultora,,,
Ya Ganaste,Ya Ganaste,86924a8a-3e69-4cad-8de8-d4f4130797a3,Código de Cliente,,,
Internet,Xturbo,156FA3A4-07C4-42E8-B0A9-13B793F79920,DNI o RUC,,,
Internet,WOW,f61f146b-0ba9-49ec-a564-670eb503f267,Cod. Cliente,,,
Industrias Willy Busch Cobranza,Willy Busch,B8F234F0-3647-4D1D-9BAE-3AEE2653BC84,Codigo de Cliente,,,
Willy Busch Cobranza,Willy Busch,CE5D4401-53E6-4ADB-B145-E48C77A3208D,Codigo de Cliente,,,
Abono Dólares,WEPAY4U,2A941817-8999-4C1F-8FA4-DE2BB70FBBB8,Código de Pago,,,
Abono Soles,WEPAY4U,C07C8414-1C2F-475E-BBCE-AB19FC85A74E,Código de Pago,,,
Pago Dólares,Wepay4u,5a303625-0578-4f79-9b40-862340792935,Código de Pago,,,
Pago Soles,Wepay4u,87611923-0765-411E-8187-0170AE9CC2FE,Código de Pago,,,
Recargas DB,WEPAY4U,75F11D76-4E7B-4F2B-9A1B-2B90AE947A81,DNI,,,
Internet,VVIN,725c8ac5-7288-4599-940a-07ce4bdf86b0,Cod. Cliente,,,
Pensiones,Vonex Academia,28d247c0-d88f-4ed3-97d7-8b4225e36bec,DNI,,,
Recarga,VMC Subastas,cabfb131-a3b0-4253-929b-84cb9cccf423,CUU,,,
Cuotas Soles Sur,Vivemas Inmobiliaria Construcción,cb4e0da1-bf6c-4dc2-9468-7f67a3be8d35,Código de Lote,,,
Cuotas Soles Norte,Vivemas Inmobiliaria Construcción,A8351AC5-2BDC-4216-A0A3-25A592CE59C1,Código de Lote,,,
Cuota Sur,Vivemas Inmobiliaria Construcción,65fe0e2a-1059-42bd-9da7-03933d6de661,Código de Lote,,,
Cuota Norte,Vivemas Inmobiliaria Construcción,FFAB1365-F2FF-4320-A769-35B2665EC780,Código de Lote,,,
Pagos Varios,Vivanorte,AD256686-E6BA-40E9-9501-CF253D4FA278,DNI,,,
Keyfacil,Vitekey,85b4e7ac-3214-4e27-a50c-8fcd3b24ce4d,Código de Pago,El código de pago tiene 7 dígitos.<br>Por ejemplo: 0030936,,
Cobranzas,Vistony SAC,fe6716aa-177a-43e2-b87c-59829c531a67,DNI o RUC,,,
